key,mistakes,accuracy
0,847,0.82
1,414,0.91
2,345,0.93
3,432,0.91
4,270,0.94
5,246,0.95
6,251,0.95
7,343,0.93
8,176,0.96
9,145,0.97
10,147,0.97
11,124,0.97
12,152,0.97
13,142,0.97
14,118,0.98
15,133,0.97
16,141,0.97
17,99,0.98
18,165,0.97
19,112,0.98
20,78,0.98
21,78,0.98
22,68,0.99
23,88,0.98
24,85,0.98
25,52,0.99
26,66,0.99
27,60,0.99
28,92,0.98
29,115,0.98
30,72,0.98
31,55,0.99
32,66,0.99
33,71,0.99
34,69,0.99
35,61,0.99
36,43,0.99
37,44,0.99
38,34,0.99
39,26,0.99
40,97,0.98
41,71,0.99
42,57,0.99
43,44,0.99
44,31,0.99
45,25,0.99
46,25,0.99
47,35,0.99
48,21,1.0
49,19,1.0
50,17,1.0
51,19,1.0
52,19,1.0
53,20,1.0
54,13,1.0
55,13,1.0
56,13,1.0
57,13,1.0
58,14,1.0
59,9,1.0
60,10,1.0
61,11,1.0
62,11,1.0
63,23,1.0
64,13,1.0
65,10,1.0
66,8,1.0
67,9,1.0
68,12,1.0
69,10,1.0
70,11,1.0
71,8,1.0
72,46,0.99
73,41,0.99
74,104,0.98
75,255,0.95
76,86,0.98
77,54,0.99
78,80,0.98
79,128,0.97
80,65,0.99
81,38,0.99
82,29,0.99
83,27,0.99
84,24,0.99
85,18,1.0
86,19,1.0
87,16,1.0
88,15,1.0
89,14,1.0
90,13,1.0
91,14,1.0
92,12,1.0
93,12,1.0
94,13,1.0
95,11,1.0
96,11,1.0
97,11,1.0
98,44,0.99
99,35,0.99
100,23,1.0
101,48,0.99
102,131,0.97
103,48,0.99
104,25,0.99
105,21,1.0
106,14,1.0
107,10,1.0
108,11,1.0
109,12,1.0
110,10,1.0
111,12,1.0
112,11,1.0
113,11,1.0
114,9,1.0
115,10,1.0
116,10,1.0
117,12,1.0
118,9,1.0
119,14,1.0
120,8,1.0
121,10,1.0
122,8,1.0
123,10,1.0
124,9,1.0
125,8,1.0
126,7,1.0
127,6,1.0
128,5,1.0
129,8,1.0
130,11,1.0
131,7,1.0
132,6,1.0
133,4,1.0
134,5,1.0
135,6,1.0
136,5,1.0
137,4,1.0
138,3,1.0
139,3,1.0
140,3,1.0
141,5,1.0
142,3,1.0
143,2,1.0
144,2,1.0
145,6,1.0
146,10,1.0
147,4,1.0
148,1,1.0
149,2,1.0
150,2,1.0
151,1,1.0
152,3,1.0
153,2,1.0
154,3,1.0
155,2,1.0
156,3,1.0
157,3,1.0
158,1,1.0
159,2,1.0
160,2,1.0
161,2,1.0
162,11,1.0
163,3,1.0
164,3,1.0
165,3,1.0
166,1,1.0
167,2,1.0
168,3,1.0
169,2,1.0
170,2,1.0
171,2,1.0
172,2,1.0
173,2,1.0
174,3,1.0
175,2,1.0
176,2,1.0
177,2,1.0
178,2,1.0
179,2,1.0
180,2,1.0
181,15,1.0
182,156,0.97
183,58,0.99
184,26,0.99
185,18,1.0
186,20,1.0
187,16,1.0
188,25,0.99
189,25,0.99
190,13,1.0
191,13,1.0
192,8,1.0
193,8,1.0
194,8,1.0
195,8,1.0
196,7,1.0
197,6,1.0
198,6,1.0
199,4,1.0
200,4,1.0
201,1,1.0
202,2,1.0
203,1,1.0
204,2,1.0
205,3,1.0
206,1,1.0
207,2,1.0
208,2,1.0
209,2,1.0
210,7,1.0
211,2,1.0
212,1,1.0
213,1,1.0
214,2,1.0
215,2,1.0
216,3,1.0
217,2,1.0
218,2,1.0
219,2,1.0
220,2,1.0
221,2,1.0
222,2,1.0
223,2,1.0
224,2,1.0
225,3,1.0
226,2,1.0
227,2,1.0
228,2,1.0
229,2,1.0
230,2,1.0
231,2,1.0
232,2,1.0
233,2,1.0
234,2,1.0
235,2,1.0
236,2,1.0
237,3,1.0
238,2,1.0
239,2,1.0
240,2,1.0
241,2,1.0
242,2,1.0
243,2,1.0
244,2,1.0
245,2,1.0
246,2,1.0
247,2,1.0
248,3,1.0
249,2,1.0
250,2,1.0
251,2,1.0
252,2,1.0
253,2,1.0
254,2,1.0
255,3,1.0
256,2,1.0
257,2,1.0
258,2,1.0
259,2,1.0
260,2,1.0
261,2,1.0
262,2,1.0
263,2,1.0
264,2,1.0
265,2,1.0
266,3,1.0
267,2,1.0
268,2,1.0
269,2,1.0
270,2,1.0
271,2,1.0
272,2,1.0
273,2,1.0
274,2,1.0
275,3,1.0
276,2,1.0
277,2,1.0
278,2,1.0
279,2,1.0
280,2,1.0
281,2,1.0
282,2,1.0
283,4,1.0
284,3,1.0
285,4,1.0
286,2,1.0
287,2,1.0
288,2,1.0
289,3,1.0
290,2,1.0
291,2,1.0
292,7,1.0
293,2,1.0
294,1,1.0
295,2,1.0
296,3,1.0
297,2,1.0
298,2,1.0
299,2,1.0
300,2,1.0
301,2,1.0
302,2,1.0
303,2,1.0
304,4,1.0
305,3,1.0
306,2,1.0
307,4,1.0
308,3,1.0
309,2,1.0
310,2,1.0
311,5,1.0
312,2,1.0
313,2,1.0
314,4,1.0
315,3,1.0
316,2,1.0
317,2,1.0
318,4,1.0
319,5,1.0
320,2,1.0
321,4,1.0
322,4,1.0
323,3,1.0
324,2,1.0
325,4,1.0
326,4,1.0
327,2,1.0
328,3,1.0
329,4,1.0
330,4,1.0
331,3,1.0
332,4,1.0
333,4,1.0
334,3,1.0
335,3,1.0
336,0,1.0
